invoice_id,msme_id,invoice_amount,buyer_type,buyer_industry,invoice_date,due_date,payment_term_days,historical_payment_delay_days,seller_credit_score,invoice_frequency,payment_status,risk_label,risk_score,msme_credit_score,msme_credit_label,msme_industry
INV0000067,MSME002071,1483744.42,SME,Manufacturing,2026-03-02 17:27:56.061330,2026-05-01 17:27:56.061330,60,75,68.07,2,Paid_Late,Medium,50.86,68.07,Review,Services
INV0000068,MSME001311,3140247.35,SME,Manufacturing,2025-12-26 17:27:56.061330,2026-01-25 17:27:56.061330,30,57,64.01,2,Paid_OnTime,Medium,61.51,64.01,Review,Food & Beverage
INV0000069,MSME001612,364203.5,SME,FMCG,2025-12-24 17:27:56.061330,2026-02-22 17:27:56.061330,60,54,79.26,3,Paid_OnTime,Medium,49.02,79.26,Approve,Retail
INV0000070,MSME001140,3431420.7,Retail,Government,2025-12-25 17:27:56.061330,2026-03-25 17:27:56.061330,90,47,60.67,2,Paid_OnTime,Medium,43.06,60.67,Review,Manufacturing
INV0000071,MSME001822,2935524.84,Large Corporate,IT Services,2026-02-14 17:27:56.061330,2026-05-15 17:27:56.061330,90,33,53.13,2,Paid_Late,Medium,42.49,53.13,Review,Manufacturing
INV0000072,MSME000687,2091014.67,SME,Manufacturing,2025-11-26 17:27:56.061330,2025-12-26 17:27:56.061330,30,46,73.62,2,Paid_Late,Medium,42.24,73.62,Approve,Textile
INV0000073,MSME004004,238769.35,SME,Retail,2025-11-02 17:27:56.061330,2026-01-31 17:27:56.061330,90,74,61.6,3,Paid_Late,Medium,58.08,61.6,Review,Retail
INV0000074,MSME002081,1162359.0,SME,Retail,2025-10-15 17:27:56.061330,2026-01-13 17:27:56.061330,90,58,62.07,2,Defaulted,Medium,63.51,62.07,Review,Manufacturing
INV0000075,MSME004442,1416616.12,SME,FMCG,2026-01-28 17:27:56.061330,2026-02-27 17:27:56.061330,30,57,67.38,1,Paid_OnTime,Low,32.37,67.38,Review,Textile
INV0000076,MSME002071,119114.84,Large Corporate,Manufacturing,2025-10-12 17:27:56.061330,2025-11-11 17:27:56.061330,30,35,68.07,2,Paid_Late,Low,19.24,68.07,Review,Services
INV0000077,MSME004809,808181.83,Government,Government,2026-02-25 17:27:56.061330,2026-05-26 17:27:56.061330,90,84,55.52,2,Paid_OnTime,Medium,38.4,55.52,Review,Services
INV0000078,MSME000878,58270.79,Government,Manufacturing,2026-03-01 17:27:56.061330,2026-05-30 17:27:56.061330,90,86,77.46,2,Paid_Late,Medium,50.94,77.46,Approve,Services
INV0000079,MSME002618,247533.54,Government,IT Services,2026-01-06 17:27:56.061330,2026-03-07 17:27:56.061330,60,81,61.19,1,Paid_Late,Medium,44.97,61.19,Review,Services
INV0000080,MSME001451,607807.16,Retail,Real Estate,2025-12-29 17:27:56.061330,2026-01-28 17:27:56.061330,30,31,84.19,2,Paid_OnTime,Low,16.45,84.19,Approve,Manufacturing
INV0000081,MSME004310,1699458.51,SME,FMCG,2026-01-04 17:27:56.061330,2026-02-03 17:27:56.061330,30,55,54.07,1,Paid_OnTime,Medium,41.2,54.07,Review,Manufacturing
INV0000082,MSME003470,1728228.94,SME,Retail,2025-11-30 17:27:56.061330,2025-12-30 17:27:56.061330,30,68,47.49,1,Paid_OnTime,Low,34.09,47.49,Review,Retail
INV0000083,MSME002787,4093268.53,SME,Retail,2025-11-17 17:27:56.061330,2025-12-17 17:27:56.061330,30,59,79.94,2,Paid_OnTime,Medium,43.44,79.94,Approve,Textile
INV0000084,MSME002485,2743081.82,Government,Government,2026-01-11 17:27:56.061330,2026-03-12 17:27:56.061330,60,88,84.87,1,Paid_OnTime,Low,24.67,84.87,Approve,Textile
INV0000085,MSME002255,294925.12,SME,Real Estate,2026-01-11 17:27:56.061330,2026-02-10 17:27:56.061330,30,54,85.84,2,Paid_OnTime,Low,33.32,85.84,Approve,Manufacturing
INV0000086,MSME001619,236397.28,Government,Real Estate,2026-01-26 17:27:56.061330,2026-02-25 17:27:56.061330,30,88,55.02,4,Paid_OnTime,Medium,43.92,55.02,Review,Food & Beverage
INV0000087,MSME004355,1735985.73,Large Corporate,Retail,2025-11-18 17:27:56.061330,2025-12-18 17:27:56.061330,30,27,63.84,2,Paid_OnTime,Low,26.43,63.84,Review,Retail
INV0000088,MSME003026,3319258.92,Government,Automotive,2026-01-04 17:27:56.061330,2026-02-03 17:27:56.061330,30,82,73.77,2,Defaulted,Medium,56.29,73.77,Approve,Retail
INV0000089,MSME002013,2772536.41,Retail,Automotive,2026-03-21 17:27:56.061330,2026-04-20 17:27:56.061330,30,40,62.92,2,Paid_OnTime,Medium,40.9,62.92,Review,Textile
INV0000090,MSME004847,892447.15,Government,Automotive,2025-12-11 17:27:56.061330,2026-03-11 17:27:56.061330,90,77,84.58,3,Paid_OnTime,Medium,37.74,84.58,Approve,Retail
INV0000091,MSME000419,2556033.49,Government,Manufacturing,2025-12-14 17:27:56.061330,2026-02-12 17:27:56.061330,60,72,82.01,3,Paid_Late,Medium,51.83,82.01,Approve,Manufacturing
INV0000092,MSME003641,4150277.25,SME,Healthcare,2026-01-30 17:27:56.061330,2026-03-01 17:27:56.061330,30,71,65.98,3,Paid_OnTime,Medium,59.79,65.98,Review,Manufacturing
INV0000093,MSME004987,1024392.7,Government,Automotive,2026-01-05 17:27:56.061330,2026-02-04 17:27:56.061330,30,60,63.24,1,Paid_OnTime,Medium,47.21,63.24,Review,Retail
INV0000094,MSME004681,3112747.37,Government,Automotive,2025-10-19 17:27:56.061330,2026-01-17 17:27:56.061330,90,76,67.56,2,Defaulted,Medium,55.91,67.56,Review,Services
INV0000095,MSME002139,4610089.27,SME,Manufacturing,2026-02-24 17:27:56.061330,2026-03-26 17:27:56.061330,30,64,58.86,1,Defaulted,High,74.53,58.86,Review,Services
INV0000096,MSME003124,2856075.15,Large Corporate,Healthcare,2026-03-23 17:27:56.061330,2026-06-21 17:27:56.061330,90,23,77.03,2,Paid_OnTime,Low,14.61,77.03,Approve,Food & Beverage
INV0000097,MSME002260,4463722.77,Retail,Healthcare,2025-10-01 17:27:56.061330,2025-11-30 17:27:56.061330,60,55,53.96,1,Paid_OnTime,Medium,46.73,53.96,Review,Food & Beverage
INV0000098,MSME001036,1050001.5,Government,Healthcare,2026-03-12 17:27:56.061330,2026-04-11 17:27:56.061330,30,72,72.23,1,Paid_OnTime,Low,34.46,72.23,Approve,Textile
INV0000099,MSME004903,2100153.46,Retail,Automotive,2025-10-05 17:27:56.061330,2026-01-03 17:27:56.061330,90,45,84.75,1,Paid_OnTime,Low,30.45,84.75,Approve,Food & Beverage
INV0000100,MSME002743,2865027.44,Government,Manufacturing,2026-01-23 17:27:56.061330,2026-04-23 17:27:56.061330,90,76,60.56,1,Paid_Late,Medium,63.17,60.56,Review,Retail
INV0000101,MSME000208,531430.19,SME,IT Services,2025-11-30 17:27:56.061330,2026-02-28 17:27:56.061330,90,54,62.92,1,Paid_OnTime,Medium,43.35,62.92,Review,Manufacturing
INV0000102,MSME000240,2866995.88,Retail,Retail,2025-10-08 17:27:56.061330,2025-12-07 17:27:56.061330,60,40,71.98,1,Paid_OnTime,Medium,53.83,71.98,Approve,Textile
INV0000103,MSME001587,2470387.23,Large Corporate,Real Estate,2026-01-26 17:27:56.061330,2026-03-27 17:27:56.061330,60,22,67.22,2,Paid_Late,Low,30.4,67.22,Review,Services
INV0000104,MSME003392,2787893.16,Government,Manufacturing,2025-12-27 17:27:56.061330,2026-01-26 17:27:56.061330,30,68,85.8,1,Paid_OnTime,Low,27.36,85.8,Approve,Services
INV0000105,MSME001060,3842321.7,Government,Real Estate,2026-03-01 17:27:56.061330,2026-05-30 17:27:56.061330,90,66,73.08,1,Defaulted,Medium,40.71,73.08,Approve,Manufacturing
INV0000106,MSME001479,1242803.06,Government,Real Estate,2026-01-08 17:27:56.061330,2026-04-08 17:27:56.061330,90,74,76.18,1,Defaulted,Medium,45.12,76.18,Approve,Retail
INV0000107,MSME002883,2338583.12,Large Corporate,Automotive,2026-02-02 17:27:56.061330,2026-03-04 17:27:56.061330,30,16,64.23,1,Paid_Late,Low,19.87,64.23,Review,Manufacturing
INV0000108,MSME000053,2443629.23,SME,Healthcare,2025-11-28 17:27:56.061330,2025-12-28 17:27:56.061330,30,48,42.42,2,Defaulted,Medium,51.18,42.42,Reject,Retail
INV0000109,MSME001903,3679675.1,Government,Manufacturing,2026-02-12 17:27:56.061330,2026-03-14 17:27:56.061330,30,80,53.76,1,Paid_Late,Medium,55.26,53.76,Review,Services
INV0000110,MSME002154,3053242.01,Government,Real Estate,2026-02-27 17:27:56.061330,2026-03-29 17:27:56.061330,30,63,67.95,1,Paid_OnTime,Medium,42.13,67.95,Review,Manufacturing
INV0000111,MSME003033,4404291.91,SME,Real Estate,2025-11-10 17:27:56.061330,2025-12-10 17:27:56.061330,30,54,51.89,3,Paid_Late,Medium,62.55,51.89,Review,Food & Beverage
INV0000112,MSME004845,317012.37,Large Corporate,Government,2025-12-07 17:27:56.061330,2026-02-05 17:27:56.061330,60,33,87.08,2,Defaulted,Low,19.31,87.08,Approve,Manufacturing
INV0000113,MSME004900,1302283.52,Large Corporate,Automotive,2025-10-13 17:27:56.061330,2025-11-12 17:27:56.061330,30,36,99.5,1,Paid_OnTime,Low,14.66,99.5,Approve,Manufacturing
INV0000114,MSME004899,1415595.01,SME,Automotive,2026-03-17 17:27:56.061330,2026-04-16 17:27:56.061330,30,73,86.26,1,Paid_Late,Medium,46.01,86.26,Approve,Retail
INV0000115,MSME004682,4181040.05,Government,Government,2025-12-07 17:27:56.061330,2026-03-07 17:27:56.061330,90,67,64.42,1,Paid_OnTime,Medium,40.43,64.42,Review,Services
INV0000116,MSME002680,461095.1,Government,FMCG,2025-11-26 17:27:56.061330,2025-12-26 17:27:56.061330,30,73,67.62,3,Defaulted,Medium,43.88,67.62,Review,Services
INV0000117,MSME004120,4183365.01,Large Corporate,Manufacturing,2025-10-26 17:27:56.061330,2026-01-24 17:27:56.061330,90,19,56.77,2,Paid_OnTime,Low,29.6,56.77,Review,Food & Beverage
INV0000118,MSME003153,3609420.05,Large Corporate,Healthcare,2026-01-11 17:27:56.061330,2026-02-10 17:27:56.061330,30,37,50.68,1,Paid_OnTime,Medium,61.16,50.68,Review,Manufacturing
INV0000119,MSME004301,992833.27,Retail,Retail,2026-01-21 17:27:56.061330,2026-02-20 17:27:56.061330,30,34,82.77,1,Paid_OnTime,Medium,42.84,82.77,Approve,Manufacturing
INV0000120,MSME002253,3354761.86,Government,Retail,2025-10-06 17:27:56.061330,2025-12-05 17:27:56.061330,60,81,61.96,1,Paid_Late,Medium,57.09,61.96,Review,Services
INV0000121,MSME000140,977597.54,SME,Government,2026-02-04 17:27:56.061330,2026-05-05 17:27:56.061330,90,75,60.98,1,Paid_OnTime,Medium,48.43,60.98,Review,Textile
INV0000122,MSME003933,1411540.35,Large Corporate,Real Estate,2025-11-22 17:27:56.061330,2025-12-22 17:27:56.061330,30,23,80.43,4,Paid_OnTime,Low,24.61,80.43,Approve,Textile
INV0000123,MSME003404,3362949.97,Large Corporate,Healthcare,2026-03-27 17:27:56.061330,2026-04-26 17:27:56.061330,30,42,85.95,4,Paid_OnTime,Medium,39.42,85.95,Approve,Retail
INV0000124,MSME000601,1450200.92,SME,Real Estate,2025-12-20 17:27:56.061330,2026-03-20 17:27:56.061330,90,48,71.93,1,Paid_OnTime,Medium,49.48,71.93,Approve,Food & Beverage
INV0000125,MSME001821,271048.18,Large Corporate,FMCG,2025-12-11 17:27:56.061330,2026-01-10 17:27:56.061330,30,15,73.48,1,Paid_OnTime,Low,16.19,73.48,Approve,Retail
INV0000126,MSME004000,1775260.27,Government,Manufacturing,2025-11-04 17:27:56.061330,2025-12-04 17:27:56.061330,30,81,66.61,1,Paid_Late,Medium,58.34,66.61,Review,Retail
INV0000127,MSME004972,3184540.99,Large Corporate,Automotive,2026-03-07 17:27:56.061330,2026-04-06 17:27:56.061330,30,27,58.42,1,Paid_OnTime,Medium,38.89,58.42,Review,Food & Beverage
INV0000128,MSME003861,960467.86,Retail,Automotive,2026-03-12 17:27:56.061330,2026-04-11 17:27:56.061330,30,32,56.99,1,Paid_OnTime,Low,29.11,56.99,Review,Manufacturing
INV0000129,MSME000425,3995158.12,Retail,FMCG,2026-01-09 17:27:56.061330,2026-02-08 17:27:56.061330,30,47,65.5,1,Paid_OnTime,Medium,60.84,65.5,Review,Food & Beverage
INV0000130,MSME002311,638206.69,Large Corporate,Government,2025-10-09 17:27:56.061330,2026-01-07 17:27:56.061330,90,41,84.18,3,Paid_OnTime,Medium,48.05,84.18,Approve,Textile
INV0000131,MSME002192,3460358.39,Government,Retail,2026-01-26 17:27:56.061330,2026-04-26 17:27:56.061330,90,63,63.43,2,Paid_OnTime,Medium,50.21,63.43,Review,Food & Beverage
INV0000132,MSME001167,1628461.44,SME,Manufacturing,2026-01-14 17:27:56.061330,2026-02-13 17:27:56.061330,30,72,60.33,1,Paid_Late,High,72.57,60.33,Review,Food & Beverage
INV0000133,MSME002853,2794849.07,Retail,Retail,2025-12-14 17:27:56.061330,2026-01-13 17:27:56.061330,30,33,59.88,1,Paid_OnTime,Medium,47.88,59.88,Review,Retail
INV0000134,MSME000414,4687785.84,Government,Real Estate,2026-01-02 17:27:56.061330,2026-03-03 17:27:56.061330,60,79,58.83,1,Paid_Late,Medium,64.21,58.83,Review,Retail
INV0000135,MSME002425,4904526.8,Large Corporate,Healthcare,2026-02-23 17:27:56.061330,2026-03-25 17:27:56.061330,30,40,65.8,1,Paid_OnTime,Medium,42.2,65.8,Review,Manufacturing
INV0000136,MSME001081,2658267.93,Retail,Automotive,2025-10-23 17:27:56.061330,2025-11-22 17:27:56.061330,30,57,86.47,1,Paid_OnTime,Medium,38.5,86.47,Approve,Retail
INV0000137,MSME003758,716451.15,SME,Government,2025-12-06 17:27:56.061330,2026-01-05 17:27:56.061330,30,48,63.56,3,Paid_OnTime,Medium,35.96,63.56,Review,Textile
INV0000138,MSME003838,4273423.03,Government,Real Estate,2026-01-23 17:27:56.061330,2026-02-22 17:27:56.061330,30,88,88.76,2,Paid_OnTime,Medium,48.31,88.76,Approve,Manufacturing
INV0000139,MSME002013,3697418.04,Government,FMCG,2025-10-26 17:27:56.061330,2026-01-24 17:27:56.061330,90,74,62.92,2,Paid_OnTime,Low,33.26,62.92,Review,Textile
INV0000140,MSME002272,2591978.68,Large Corporate,IT Services,2025-12-08 17:27:56.061330,2026-03-08 17:27:56.061330,90,32,71.22,1,Paid_OnTime,Medium,40.56,71.22,Approve,Retail
INV0000141,MSME004271,1542087.47,Government,Healthcare,2025-10-20 17:27:56.061330,2025-12-19 17:27:56.061330,60,60,70.55,2,Paid_Late,Medium,44.49,70.55,Approve,Retail
