msme_id,business_name,industry_type,business_age_years,state,udyam_registered,gst_filing_months,avg_monthly_turnover,gst_compliance_score,turnover_growth_rate,avg_monthly_upi_inflow,upi_transaction_consistency,num_unique_buyers,peak_to_offpeak_ratio,loan_amount_requested,loan_purpose,existing_loans,collateral_available,credit_score,credit_label,filed_months,total_months,gst_filing_pct,avg_monthly_balance_lakhs,total_bounces,low_balance_days_pct
MSME000012,Sharma Mall Corporation,Services,10,Punjab,0,9,801625.86,63.97,27.39,623137.52,0.6,30,1.12,7083012.57,Machinery,0,0,51.12,Review,9,12,75.0,1.2,5,14.4
MSME000013,Sri Ahuja Traders,Retail,16,Punjab,1,8,292035.25,72.56,28.03,187650.8,0.755,460,4.19,1517879.0,Working Capital,0,0,67.0,Review,8,12,66.67,0.44,5,11.0
MSME000014,Shri Dutta Exports,Food & Beverage,17,Kerala,1,9,40753.34,75.75,-3.35,17488.84,1.0,84,2.55,93962.72,Inventory,1,1,87.56,Approve,9,12,75.0,0.06,10,9.7
MSME000015,"Sami, Oak and Mall",Textile,14,West Bengal,1,10,573928.37,78.75,-20.34,398078.56,1.0,148,3.02,5445392.58,Machinery,1,1,71.08,Approve,10,12,83.33,0.86,6,8.5
MSME000016,Sharma Dugal Manufacturing,Manufacturing,20,Bihar,1,8,270187.32,77.09,41.65,179788.92,1.0,144,1.66,3081114.78,Expansion,0,0,86.28,Approve,8,12,66.67,0.41,6,9.2
MSME000017,Kumar Kale Solutions,Food & Beverage,12,Madhya Pradesh,0,6,146312.36,48.49,46.71,85928.54,1.0,136,4.93,496480.22,Expansion,0,0,54.59,Review,6,12,50.0,0.22,6,20.6
MSME000018,Sri Nayar Traders,Services,9,West Bengal,1,10,173588.08,58.23,30.83,66852.2,0.502,80,1.65,1637494.81,Expansion,0,0,57.41,Review,10,12,83.33,0.26,6,16.7
MSME000019,Global Chaudry Corporation,Retail,15,Rajasthan,1,11,41543.47,80.97,25.05,16641.88,0.497,256,4.27,254323.75,Expansion,1,1,77.89,Approve,11,12,91.67,0.06,11,7.6
MSME000020,Shri Chanda Solutions,Services,12,Delhi,0,9,328639.21,70.7,-19.96,195442.55,0.861,58,1.22,2799478.33,Working Capital,0,0,60.93,Review,9,12,75.0,0.49,7,11.7
MSME000021,Sharma Rai Industries,Food & Beverage,14,Karnataka,0,6,398553.65,48.85,6.7,145237.89,0.67,177,2.28,2653038.92,Inventory,1,0,41.41,Reject,6,12,50.0,0.6,7,20.5
MSME000022,Shri Chatterjee Corporation,Manufacturing,18,Bihar,1,12,1667902.82,80.5,45.34,1104093.0,0.661,148,2.46,9212991.8,Working Capital,1,1,87.15,Approve,12,12,100.0,2.5,11,7.8
MSME000023,Padmanabhan-Lalla,Textile,20,Madhya Pradesh,1,10,283081.37,71.91,-4.51,115015.97,1.0,154,4.08,1561600.59,Machinery,1,1,88.29,Approve,10,12,83.33,0.42,11,11.2
MSME000024,Sharaf PLC,Food & Beverage,6,Tamil Nadu,1,12,2643617.67,69.63,18.32,1996565.56,0.579,80,4.64,17364219.36,Machinery,1,0,60.94,Review,12,12,100.0,3.97,10,12.1
MSME000025,Singh Dash Corporation,Manufacturing,4,Telangana,1,8,1337047.27,50.18,39.79,1002601.7,0.55,46,2.33,14711342.46,Working Capital,0,1,63.12,Review,8,12,66.67,2.01,7,19.9
MSME000026,Kumar Radhakrishnan Manufacturing,Food & Beverage,12,Bihar,1,10,103708.19,69.67,27.87,46337.02,1.0,209,2.67,285146.63,Working Capital,0,0,66.11,Review,10,12,83.33,0.16,11,12.1
MSME000027,Shri Brar Exports,Retail,13,Uttar Pradesh,1,9,246239.22,63.32,-10.61,84138.32,0.691,457,3.07,1117998.38,Working Capital,0,0,64.44,Review,9,12,75.0,0.37,11,14.7
MSME000028,Sharma Memon Manufacturing,Services,19,Rajasthan,0,11,6005425.87,82.89,12.06,3637533.9,1.0,39,1.1,25785951.62,Inventory,0,0,87.28,Approve,11,12,91.67,9.01,6,6.8
MSME000029,"Pathak, Handa and Boase",Textile,13,Rajasthan,1,10,1431605.6,76.49,36.15,750458.02,1.0,40,3.96,13923516.91,Machinery,0,0,70.73,Approve,10,12,83.33,2.15,10,9.4
MSME000030,Patel Bath Services,Manufacturing,12,Andhra Pradesh,1,12,352640.32,71.64,61.48,131130.87,1.0,46,1.83,1992912.66,Working Capital,0,1,88.0,Approve,12,12,100.0,0.53,12,11.3
MSME000031,Singh Kari Industries,Textile,20,Delhi,1,8,1678735.94,67.36,9.6,949729.31,1.0,93,2.61,14300276.16,Expansion,1,0,76.46,Approve,8,12,66.67,2.52,12,13.1
MSME000032,Singh Mann Manufacturing,Textile,3,Maharashtra,1,12,126614.79,67.84,37.92,100831.22,0.757,183,2.68,411856.71,Machinery,0,0,69.33,Review,12,12,100.0,0.19,9,12.9
MSME000033,Global Buch Exports,Textile,3,Uttar Pradesh,1,11,296307.08,67.67,-20.99,99112.19,0.874,151,2.15,2731605.76,Working Capital,1,0,64.53,Review,11,12,91.67,0.44,10,12.9
MSME000034,Singh Kaul Enterprises,Manufacturing,14,West Bengal,1,8,40519.21,61.14,8.93,17502.18,0.988,65,2.33,205527.74,Machinery,0,1,78.93,Approve,8,12,66.67,0.06,9,15.5
MSME000035,Patel Chaudhuri Exports,Manufacturing,18,Telangana,1,10,1369437.98,87.32,2.5,779630.82,1.0,76,1.35,7591122.66,Working Capital,1,1,90.58,Approve,10,12,83.33,2.05,7,5.1
MSME000036,Global Rai Corporation,Textile,19,Karnataka,1,12,142015.86,79.65,63.45,98939.7,0.627,116,2.03,1038797.0,Machinery,1,0,82.57,Approve,12,12,100.0,0.21,12,8.1
MSME000037,Sri Mall Solutions,Services,10,Haryana,1,12,481965.78,67.37,33.33,149110.84,0.69,34,2.48,1243687.9,Inventory,0,0,70.21,Approve,12,12,100.0,0.72,6,13.1
MSME000038,Patel Setty Enterprises,Food & Beverage,17,Madhya Pradesh,1,10,62250.19,76.37,17.34,41482.28,0.996,251,2.06,489803.87,Expansion,0,0,82.33,Approve,10,12,83.33,0.09,8,9.5
MSME000039,"Patla, Gaba and Prabhakar",Textile,15,Karnataka,1,11,731507.94,82.8,-32.59,270615.34,0.696,171,2.91,3974285.48,Machinery,0,0,77.3,Approve,11,12,91.67,1.1,10,6.9
MSME000040,Kadakia-Loke,Retail,19,Kerala,1,8,404744.78,69.25,22.71,289530.03,1.0,494,4.7,821067.71,Machinery,1,1,83.77,Approve,8,12,66.67,0.61,7,12.3
MSME000041,"Bora, Garg and Walla",Textile,9,Maharashtra,1,12,98101.69,74.59,22.96,63382.33,1.0,54,4.62,1057384.8,Expansion,0,1,76.46,Approve,12,12,100.0,0.15,12,10.2
MSME000042,Sri Konda Solutions,Manufacturing,4,Delhi,1,12,374242.49,56.57,13.99,197695.72,1.0,87,2.0,1796067.32,Working Capital,0,0,59.87,Review,12,12,100.0,0.56,9,17.4
MSME000043,Shere Group,Food & Beverage,15,Karnataka,0,10,467182.94,73.4,16.17,332069.73,1.0,240,4.96,3385445.87,Working Capital,0,0,63.66,Review,10,12,83.33,0.7,11,10.6
MSME000044,Kanda-Nair,Retail,19,Tamil Nadu,0,7,754806.46,62.52,60.04,503096.88,1.0,283,4.24,5126966.49,Machinery,0,1,75.31,Approve,7,12,58.33,1.13,12,15.0
MSME000045,Karnik Inc,Food & Beverage,16,Karnataka,1,12,2662035.12,84.33,38.72,1809097.77,0.812,85,2.72,7257405.72,Expansion,1,1,88.2,Approve,12,12,100.0,3.99,7,6.3
MSME000046,Kumar Mutti Enterprises,Food & Beverage,8,Punjab,0,7,1717000.19,51.68,-7.13,764128.39,0.449,189,4.5,4599073.09,Machinery,0,1,43.18,Reject,7,12,58.33,2.58,12,19.3
MSME000047,Shri Rattan Services,Retail,17,Gujarat,1,12,192132.22,90.56,63.81,117144.83,1.0,458,3.52,1240153.92,Working Capital,1,0,94.22,Approve,12,12,100.0,0.29,11,3.8
MSME000048,Singh Loyal Services,Textile,1,Punjab,0,7,246142.75,41.46,-7.28,91208.94,0.163,74,3.51,2477849.47,Machinery,0,0,23.82,Reject,7,12,58.33,0.37,12,23.4
MSME000049,Singh Bhatti Industries,Textile,7,Tamil Nadu,1,8,103321.08,56.12,55.4,73402.43,0.501,199,4.5,659397.41,Expansion,0,0,44.95,Reject,8,12,66.67,0.15,12,17.6
MSME000050,Murty and Sons,Textile,18,Telangana,1,12,171215.36,87.59,-3.1,96457.78,1.0,62,3.6,1864150.45,Expansion,0,1,95.03,Approve,12,12,100.0,0.26,7,5.0
MSME000051,Sharma Tata Exports,Services,12,Kerala,1,12,1490329.88,87.81,11.22,1061773.34,0.868,42,2.14,5943830.59,Machinery,0,0,79.01,Approve,12,12,100.0,2.24,11,4.9
MSME000052,Singh Randhawa Exports,Textile,16,Haryana,1,9,85427.6,77.33,-37.81,34647.59,1.0,41,4.79,725890.65,Working Capital,1,1,79.06,Approve,9,12,75.0,0.13,9,9.1
MSME000053,"Shanker, Dhar and Lanka",Retail,1,Karnataka,0,8,367355.81,49.95,42.28,134147.6,0.2,172,2.22,1650289.8,Working Capital,0,1,42.42,Reject,8,12,66.67,0.55,7,20.0
MSME000054,Kumar Dewan Corporation,Services,15,West Bengal,1,9,369705.31,72.55,-34.07,238269.3,1.0,90,1.84,1849426.31,Working Capital,0,1,86.61,Approve,9,12,75.0,0.55,6,11.0
MSME000055,Kumar Koshy Enterprises,Textile,7,Bihar,1,9,231645.51,58.57,20.18,76257.42,0.855,136,4.36,1815609.89,Machinery,1,1,67.41,Review,9,12,75.0,0.35,12,16.6
MSME000056,Global Yohannan Services,Services,17,Punjab,1,11,111250.54,78.23,4.13,46946.95,0.747,60,2.36,530747.98,Expansion,1,1,75.94,Approve,11,12,91.67,0.17,9,8.7
MSME000057,Sangha-Rastogi,Retail,3,Andhra Pradesh,1,11,45559.69,66.01,6.62,34368.26,0.858,238,2.7,152031.47,Expansion,1,0,61.35,Review,11,12,91.67,0.07,6,13.6
MSME000058,Kanda-Devi,Textile,11,Tamil Nadu,1,8,121828.84,53.63,24.85,44635.53,0.96,173,2.67,958132.84,Inventory,0,0,66.96,Review,8,12,66.67,0.18,12,18.5
MSME000059,Shri Upadhyay Industries,Manufacturing,6,Kerala,1,8,600633.5,43.06,35.49,292975.77,0.94,44,1.43,6204126.79,Working Capital,1,1,62.87,Review,8,12,66.67,0.9,5,22.8
MSME000060,Kumar Tak Services,Retail,6,Rajasthan,1,10,906357.23,64.63,47.72,700425.12,0.975,499,3.95,6220156.84,Working Capital,0,1,74.83,Approve,10,12,83.33,1.36,11,14.1
MSME000061,Sri Chand Solutions,Food & Beverage,15,Gujarat,0,9,2755080.7,62.9,-14.24,854079.45,1.0,141,2.65,16265191.15,Expansion,1,0,62.59,Review,9,12,75.0,4.13,10,14.8
MSME000062,Singh Batta Manufacturing,Food & Beverage,7,Andhra Pradesh,1,12,594823.2,78.58,7.22,310888.84,0.832,224,4.73,2383777.02,Machinery,0,1,74.75,Approve,12,12,100.0,0.89,8,8.6
MSME000063,Dua Ltd,Retail,11,Gujarat,1,8,901064.06,65.25,13.81,624644.29,1.0,199,2.73,5519301.55,Expansion,0,0,70.46,Approve,8,12,66.67,1.35,6,13.9
MSME000064,Global Dutta Traders,Food & Beverage,17,Telangana,1,8,2742824.37,70.88,30.07,2069434.11,0.688,184,3.99,7405127.38,Working Capital,0,1,78.18,Approve,8,12,66.67,4.11,10,11.6
MSME000065,"Sami, Bhatt and Rajan",Retail,18,Punjab,0,9,663971.86,70.78,29.56,443392.74,0.86,383,3.36,2051155.07,Working Capital,0,1,71.51,Approve,9,12,75.0,1.0,7,11.7
MSME000066,Global Raj Traders,Manufacturing,19,Tamil Nadu,1,11,2159008.57,87.09,-6.12,1606725.25,1.0,26,1.12,23825265.25,Expansion,1,1,100.0,Approve,11,12,91.67,3.24,5,5.2
MSME000067,Singh Sidhu Industries,Retail,8,West Bengal,1,10,280545.09,63.2,45.05,88984.45,0.717,371,4.26,1498467.7,Machinery,1,1,68.9,Review,10,12,83.33,0.42,5,14.7
MSME000068,Sharma Wadhwa Enterprises,Textile,20,Maharashtra,0,9,1366639.78,73.32,25.25,478239.31,0.857,39,2.98,10621364.64,Working Capital,0,1,70.05,Approve,9,12,75.0,2.05,10,10.7
MSME000069,Apte-Contractor,Textile,8,West Bengal,1,12,739967.28,80.9,59.72,494936.95,0.58,151,3.08,6443542.6,Working Capital,0,1,68.17,Review,12,12,100.0,1.11,12,7.6
MSME000070,Singh Yadav Solutions,Services,11,Kerala,1,9,397165.67,57.24,22.93,268747.76,1.0,13,1.51,1452412.2,Working Capital,1,0,65.93,Review,9,12,75.0,0.6,5,17.1
MSME000071,Sharma Loke Traders,Food & Beverage,3,Punjab,1,12,2549179.61,69.57,-52.6,1536226.7,0.384,60,4.41,17353493.94,Working Capital,0,1,55.41,Review,12,12,100.0,3.82,12,12.2
MSME000072,Global Oak Solutions,Food & Beverage,14,Karnataka,0,10,93988.69,78.67,-5.58,62515.47,1.0,212,2.48,681660.06,Expansion,1,1,77.25,Approve,10,12,83.33,0.14,5,8.5
MSME000073,Sharma Choudhury Enterprises,Retail,9,Haryana,0,11,157645.89,78.37,10.97,114928.04,0.84,133,2.65,808161.68,Expansion,0,1,63.76,Review,11,12,91.67,0.24,12,8.7
MSME000074,Saran-Dugar,Food & Beverage,1,Andhra Pradesh,0,7,1636000.49,41.65,-9.16,937004.97,0.353,155,3.22,9994339.03,Expansion,0,0,32.5,Reject,7,12,58.33,2.45,11,23.3
MSME000075,Sri Setty Solutions,Textile,1,Andhra Pradesh,1,12,1844544.89,62.2,-10.54,1427054.62,0.927,193,2.45,19140982.46,Working Capital,0,0,64.95,Review,12,12,100.0,2.77,6,15.1
MSME000076,Kumar Aggarwal Services,Manufacturing,12,Uttar Pradesh,1,12,673808.77,86.41,62.61,436034.34,0.688,130,1.86,7953169.58,Inventory,1,0,86.11,Approve,12,12,100.0,1.01,10,5.4
MSME000077,"Lall, Tella and Gokhale",Retail,11,Bihar,1,9,665059.92,70.02,-16.23,356466.16,1.0,255,3.57,3063841.75,Working Capital,0,0,71.63,Approve,9,12,75.0,1.0,5,12.0
MSME000078,Sharma Tripathi Corporation,Food & Beverage,1,Madhya Pradesh,0,11,740810.62,62.61,2.65,378375.74,0.808,190,4.86,4518463.89,Inventory,0,1,63.51,Review,11,12,91.67,1.11,6,15.0
MSME000079,Shri Cherian Solutions,Textile,20,Telangana,0,7,891252.45,74.95,16.65,601669.73,0.914,100,4.41,10139573.59,Working Capital,0,1,66.13,Review,7,12,58.33,1.34,7,10.0
MSME000080,"Misra, Tripathi and Issac",Services,12,Uttar Pradesh,1,8,709069.54,61.2,-17.88,436244.12,0.805,45,1.93,3296576.81,Working Capital,1,1,67.69,Review,8,12,66.67,1.06,6,15.5
MSME000081,Prakash and Sons,Food & Beverage,17,Tamil Nadu,0,12,145230.03,76.33,10.92,102927.67,1.0,147,3.76,988621.47,Machinery,1,0,74.1,Approve,12,12,100.0,0.22,6,9.5
MSME000082,"Wali, Acharya and Naik",Manufacturing,15,Maharashtra,1,12,2932434.36,76.47,-44.1,2024825.78,0.789,36,1.37,46826678.7,Machinery,1,1,89.67,Approve,12,12,100.0,4.4,12,9.4
MSME000083,Singh Suresh Enterprises,Manufacturing,2,Haryana,1,9,519490.31,53.36,1.83,292006.2,0.761,29,1.95,6833695.86,Inventory,0,0,66.42,Review,9,12,75.0,0.78,9,18.7
MSME000084,Choudhury LLC,Food & Beverage,18,Haryana,1,8,121290.88,68.26,-12.96,93739.77,1.0,79,2.25,468703.15,Expansion,1,1,70.96,Approve,8,12,66.67,0.18,8,12.7
MSME000085,Khatri-Bhardwaj,Food & Beverage,16,Bihar,1,11,467687.6,81.97,7.33,304992.48,1.0,245,4.67,1278071.98,Expansion,0,0,96.73,Approve,11,12,91.67,0.7,12,7.2
MSME000086,Brar Inc,Textile,4,Gujarat,1,12,868236.99,67.03,20.41,347659.28,0.77,164,2.74,6859707.49,Inventory,0,0,68.56,Review,12,12,100.0,1.3,12,13.2
MSME000087,Kumar Sunder Enterprises,Food & Beverage,8,Gujarat,1,12,639898.86,70.77,48.72,389854.28,0.99,234,3.49,1726262.11,Machinery,1,1,79.78,Approve,12,12,100.0,0.96,7,11.7
MSME000088,Walia and Sons,Services,2,Madhya Pradesh,0,10,1706003.27,49.36,-0.38,683947.85,0.425,39,2.38,10171817.17,Inventory,0,1,44.09,Reject,10,12,83.33,2.56,12,20.3
MSME000089,Kumar Dave Enterprises,Textile,14,Rajasthan,0,7,364613.88,64.55,68.43,211266.27,0.691,150,2.14,2198720.62,Expansion,0,0,50.63,Review,7,12,58.33,0.55,9,14.2
MSME000090,Singh Soman Manufacturing,Retail,15,Kerala,0,10,409139.61,82.35,20.31,284338.62,1.0,289,3.54,1986155.42,Working Capital,0,1,74.24,Approve,10,12,83.33,0.61,7,7.1
MSME000091,"Gandhi, Lanka and Wable",Services,9,Kerala,0,6,192832.68,53.9,-8.57,136188.6,0.885,18,1.3,937422.75,Working Capital,1,1,51.18,Review,6,12,50.0,0.29,8,18.4
MSME000092,Sri Sampath Traders,Textile,2,Andhra Pradesh,1,11,761333.17,51.23,27.57,476147.29,0.793,37,4.18,8073211.91,Working Capital,0,0,52.24,Review,11,12,91.67,1.14,11,19.5
MSME000093,Patel Kakar Solutions,Textile,17,Madhya Pradesh,1,9,205250.14,73.76,45.89,141961.89,1.0,41,4.57,1423120.31,Machinery,1,1,87.67,Approve,9,12,75.0,0.31,5,10.5
MSME000094,Sharma Zacharia Exports,Manufacturing,10,West Bengal,0,8,326950.85,65.04,-11.69,175284.18,1.0,50,2.31,1719204.74,Working Capital,0,1,60.28,Review,8,12,66.67,0.49,11,14.0
MSME000095,Global Iyer Traders,Textile,9,Kerala,1,12,1871977.53,75.32,63.56,1077000.94,0.969,70,2.51,16495602.25,Inventory,0,1,82.96,Approve,12,12,100.0,2.81,9,9.9
MSME000096,Sri Muni Services,Services,2,West Bengal,0,12,625369.12,61.79,42.46,462650.26,0.819,72,1.85,5214339.93,Inventory,0,0,56.1,Review,12,12,100.0,0.94,8,15.3
MSME000097,Patel Rastogi Solutions,Food & Beverage,19,West Bengal,0,10,2200331.55,75.86,-13.6,1202569.92,0.91,174,3.25,10007881.34,Expansion,0,1,80.61,Approve,10,12,83.33,3.3,10,9.7
MSME000098,Sharma Prakash Traders,Services,17,Haryana,0,10,2179013.02,73.77,1.94,1036043.43,1.0,78,1.53,15345100.23,Inventory,0,0,70.56,Approve,10,12,83.33,3.27,5,10.5
MSME000099,Sri Sarma Enterprises,Retail,11,Karnataka,1,9,573144.2,58.84,4.61,400339.09,0.96,208,3.02,2680556.82,Expansion,0,0,65.9,Review,9,12,75.0,0.86,8,16.5
MSME000100,Sharma Varughese Exports,Textile,17,Telangana,1,12,879243.82,79.41,42.71,285962.49,0.86,106,3.04,4228278.3,Working Capital,1,0,88.36,Approve,12,12,100.0,1.32,5,8.2
MSME000101,Dara-Kota,Textile,10,Uttar Pradesh,0,11,431995.03,72.61,-14.48,336601.24,0.565,77,4.12,3617107.19,Working Capital,0,1,67.31,Review,11,12,91.67,0.65,8,11.0
MSME000102,Kumar Kar Solutions,Textile,18,Karnataka,0,10,2012831.82,78.85,53.49,946096.56,0.538,132,2.29,18742486.39,Expansion,1,0,64.65,Review,10,12,83.33,3.02,12,8.5
MSME000103,Nigam Inc,Textile,6,Maharashtra,0,10,889232.14,65.36,43.54,546707.1,0.445,128,3.24,4662066.45,Working Capital,0,0,40.69,Reject,10,12,83.33,1.33,7,13.9
MSME000104,Kumar Karpe Solutions,Manufacturing,16,Punjab,1,10,1976697.79,71.83,56.61,1270478.28,0.492,67,2.03,24740714.84,Machinery,0,1,66.02,Review,10,12,83.33,2.97,8,11.3
MSME000105,Singh Kannan Enterprises,Manufacturing,18,Maharashtra,1,12,305354.2,86.22,16.47,112534.96,0.789,90,1.5,4372553.22,Machinery,1,0,93.51,Approve,12,12,100.0,0.46,11,5.5
MSME000106,Global Amble Industries,Food & Beverage,20,Maharashtra,0,6,77757.59,68.61,45.87,55319.09,1.0,239,2.94,583386.39,Inventory,0,1,71.6,Approve,6,12,50.0,0.12,6,12.6
MSME000107,Kumar Bobal Solutions,Textile,18,Gujarat,0,12,1050807.82,96.26,8.98,615832.73,1.0,117,3.2,4784054.79,Working Capital,0,1,81.41,Approve,12,12,100.0,1.58,10,1.5
MSME000108,Shri Bhargava Services,Retail,1,Gujarat,1,9,1028232.36,45.98,60.81,477063.12,0.809,376,2.17,3088898.07,Inventory,1,1,47.77,Review,9,12,75.0,1.54,9,21.6
MSME000109,Shri Karnik Traders,Food & Beverage,3,Andhra Pradesh,1,9,435768.74,47.96,25.78,316081.78,0.806,294,2.06,3144249.42,Working Capital,0,0,60.57,Review,9,12,75.0,0.65,10,20.8
MSME000110,Balay LLC,Textile,15,Haryana,0,8,1151647.34,64.82,60.03,705430.28,1.0,105,3.8,10551208.19,Inventory,0,1,66.86,Review,8,12,66.67,1.73,8,14.1
MSME000111,Varkey and Sons,Manufacturing,20,Telangana,1,12,238724.44,94.48,21.71,165409.56,1.0,37,1.78,1326747.61,Working Capital,1,0,99.3,Approve,12,12,100.0,0.36,9,2.2
MSME000112,Singh Mallick Solutions,Retail,10,Madhya Pradesh,0,8,1365672.59,67.56,-6.12,1087286.91,0.816,345,3.09,6788405.65,Working Capital,1,0,54.36,Review,8,12,66.67,2.05,10,13.0
MSME000113,"Sunder, Kala and Zacharia",Food & Beverage,5,Haryana,1,8,1624485.87,51.56,52.82,593161.85,0.661,293,2.24,10654440.61,Machinery,0,1,69.44,Review,8,12,66.67,2.44,11,19.4
MSME000114,Sharma Deo Solutions,Retail,15,Haryana,1,11,1505774.8,84.58,20.21,1016094.19,1.0,435,2.3,4810297.52,Inventory,1,0,89.47,Approve,11,12,91.67,2.26,7,6.2
MSME000115,Kumar Solanki Services,Textile,14,Maharashtra,0,7,667387.79,59.45,1.58,453046.53,1.0,114,2.46,7470490.55,Machinery,0,0,52.01,Review,7,12,58.33,1.0,5,16.2
MSME000116,Kumar Kibe Traders,Services,15,Tamil Nadu,1,12,2204727.34,73.3,0.4,1625644.31,1.0,58,2.25,19830818.04,Working Capital,0,0,89.69,Approve,12,12,100.0,3.31,11,10.7
MSME000117,Kumar Solanki Solutions,Retail,10,Tamil Nadu,1,12,112258.36,82.88,-7.25,56581.89,0.932,104,4.29,624314.02,Inventory,0,0,72.94,Approve,12,12,100.0,0.17,7,6.8
MSME000118,Sri Ray Exports,Retail,9,Rajasthan,1,12,880430.76,69.3,-20.81,646963.11,0.993,499,4.72,5869329.21,Machinery,0,0,76.65,Approve,12,12,100.0,1.32,8,12.3
MSME000119,Sri Gupta Exports,Manufacturing,12,Karnataka,0,12,1567833.39,70.77,4.44,971965.17,0.936,70,2.24,9069888.99,Machinery,1,0,71.53,Approve,12,12,100.0,2.35,5,11.7
MSME000120,Singh Chandra Manufacturing,Textile,7,Uttar Pradesh,1,8,1049531.38,63.76,20.12,350948.69,1.0,44,4.45,5492582.18,Working Capital,0,1,67.24,Review,8,12,66.67,1.57,9,14.5
MSME000121,Sankar LLC,Retail,5,Punjab,1,9,143136.8,51.95,5.47,45196.64,1.0,253,2.41,951270.58,Working Capital,0,0,54.12,Review,9,12,75.0,0.21,10,19.2
MSME000122,Roy-Sibal,Textile,10,Gujarat,0,11,757359.97,63.56,-79.53,409536.88,0.701,113,3.35,5301060.04,Machinery,0,0,49.99,Review,11,12,91.67,1.14,9,14.6
MSME000123,Patel Bhagat Industries,Manufacturing,8,Madhya Pradesh,1,8,488035.14,51.56,-23.43,338167.37,0.874,139,1.92,3012252.14,Machinery,0,0,58.48,Review,8,12,66.67,0.73,9,19.4
MSME000124,"Chaudhari, Bhat and Rau",Textile,20,Kerala,1,11,54911.88,86.11,38.5,27023.0,1.0,149,4.99,308108.03,Working Capital,0,0,92.77,Approve,11,12,91.67,0.08,10,5.6
MSME000125,Sharma Nori Traders,Manufacturing,16,Uttar Pradesh,1,12,161491.6,75.76,12.14,117229.35,1.0,101,2.03,1851747.77,Inventory,0,0,86.13,Approve,12,12,100.0,0.24,7,9.7
MSME000126,Sri Chopra Solutions,Manufacturing,12,Madhya Pradesh,0,7,2673702.88,54.22,-27.65,1460004.89,0.661,39,1.65,12013089.32,Working Capital,1,1,55.65,Review,7,12,58.33,4.01,8,18.3
MSME000127,Sri Kothari Manufacturing,Food & Beverage,9,Delhi,1,12,246999.65,76.88,6.11,77346.52,0.992,290,2.34,713734.09,Working Capital,0,0,76.97,Approve,12,12,100.0,0.37,11,9.2
MSME000128,Singh Handa Exports,Textile,10,Haryana,1,12,2042573.12,83.32,18.12,1607162.98,0.786,46,2.21,9851139.2,Inventory,1,0,77.07,Approve,12,12,100.0,3.06,12,6.7
MSME000129,Global Gupta Traders,Services,16,Telangana,1,12,2094242.62,81.95,38.88,1140955.7,0.559,84,1.2,19174990.07,Working Capital,1,1,77.99,Approve,12,12,100.0,3.14,9,7.2
